time,title,author,page
2020-04-09,冷静と情熱のあいだ Blu (角川文庫),辻 仁成,262
2020-04-05,漂流 (新潮文庫),吉村 昭,528
2020-04-03,探偵AIのリアル・ディープラーニング (新潮…,早坂 吝,364
2020-04-03,いつもの朝に 下 (集英社文庫),今邑 彩,400
2020-04-03,いつもの朝に 上 (集英社文庫),今邑 彩,384
2020-04-03,ふくわらい (朝日文庫),西 加奈子,304
2020-03-29,宿命 (講談社文庫),東野 圭吾,378
2020-03-27,白砂 (双葉文庫),鏑木 蓮,432
2020-03-24,放課後 (講談社文庫),東野 圭吾,353
2020-03-23,ルームメイト (中公文庫),今邑 彩,400
2020-03-22,生きるぼくら (徳間文庫),原田 マハ,423
2020-03-21,兎の眼 (角川文庫),灰谷 健次郎,339
2020-03-21,スタンフォードの自分を変える教室 スタンフォ…,ケリー・マクゴニガル,222
2020-03-18,聖の青春 (角川文庫),大崎 善生,432
2020-03-18,漁港の肉子ちゃん (幻冬舎文庫),西 加奈子,341
2020-03-15,彼女のため生まれた (幻冬舎文庫),浦賀 和宏,498
2020-03-13,噂 (新潮文庫),荻原 浩,492
2020-03-09,悲しみのイレーヌ (文春文庫 ル 6-3),,472
2020-03-06,きいろいゾウ (小学館文庫),西 加奈子,488
2020-03-01,チルドレン (講談社文庫),伊坂 幸太郎,352
2020-02-28,続氷点(下) (角川文庫),三浦 綾子,400
2020-02-28,続氷点(上) (角川文庫),三浦 綾子,365
2020-02-24,メインテーマは殺人 (創元推理文庫),アンソニー・ホロヴィッツ,496
2020-02-23,氷点(下) (角川文庫),三浦 綾子,385
2020-02-19,氷点(上) (角川文庫),三浦 綾子,380
2020-02-17,陽気なギャングが地球を回す (祥伝社文庫),伊坂 幸太郎,394
2020-02-13,砂の王国(下) (講談社文庫),荻原 浩,496
2020-02-13,砂の王国(上) (講談社文庫),荻原 浩,496
2020-02-10,イノセント・デイズ (新潮文庫),早見 和真,480
2020-02-09,カササギ殺人事件〈下〉 (創元推理文庫),アンソニー・ホロヴィッツ,382
2020-02-09,カササギ殺人事件〈上〉 (創元推理文庫),アンソニー・ホロヴィッツ,345
2020-02-04,百年法 (下) (角川文庫),山田 宗樹,493
2020-02-04,百年法 (上) (角川文庫),山田 宗樹,467
2020-02-03,首折り男のための協奏曲,伊坂 幸太郎,315
2020-01-31,魔性の子 十二国記 0 (新潮文庫),小野 不由美,491
2020-01-30,白銀の墟 玄の月 第四巻 十二国記 (新潮文…,小野 不由美,448
2020-01-24,白銀の墟 玄の月 第三巻 十二国記 (新潮文…,小野 不由美,384
2020-01-24,白銀の墟 玄の月 第二巻 十二国記 (新潮文…,小野 不由美,421
2020-01-24,白銀の墟　玄の月　第一巻　十二国記 (新潮文…,小野 不由美,371
2020-01-13,黄昏の岸 暁の天 十二国記 8 (新潮文庫),小野 不由美,478
2020-01-13,東の海神(わだつみ) 西の滄海 十二国記 3…,小野 不由美,348
2020-01-13,華胥の幽夢 (かしょのゆめ) 十二国記 7 …,小野 不由美,351
2020-01-11,図南の翼 (となんのつばさ) 十二国記 6 …,小野 不由美,419
2020-01-03,丕緒の鳥 (ひしょのとり) 十二国記 5 (…,小野 不由美,358
